09:55:44.955465 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
09:55:45.005694 git.c:502               trace: built-in: git push origin main
09:55:45.017019 run-command.c:673       trace: run_command: GIT_DIR=.git git remote-https origin https://github.com/Clinikauto/site-v3.git
09:55:45.017019 run-command.c:934       trace: start_command: git remote-https origin https://github.com/Clinikauto/site-v3.git
09:55:45.079564 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
09:55:45.120045 git.c:810               trace: exec: git-remote-https origin https://github.com/Clinikauto/site-v3.git
09:55:45.120045 run-command.c:673       trace: run_command: git-remote-https origin https://github.com/Clinikauto/site-v3.git
09:55:45.120045 run-command.c:934       trace: start_command: git-remote-https origin https://github.com/Clinikauto/site-v3.git
09:55:45.171244 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
09:55:45.552106 http.c:968              == Info: Could not find host github.com in the .netrc file; using defaults
09:55:45.601421 http.c:968              == Info: Host github.com:443 was resolved.
09:55:45.601421 http.c:968              == Info: IPv6: (none)
09:55:45.601421 http.c:968              == Info: IPv4: 140.82.112.4
09:55:45.601421 http.c:968              == Info:   Trying 140.82.112.4:443...
09:55:45.736211 http.c:968              == Info: schannel: disabled automatic use of client certificate
09:55:45.736211 http.c:968              == Info: ALPN: curl offers http/1.1
09:55:45.857730 http.c:968              == Info: ALPN: server accepted http/1.1
09:55:45.857730 http.c:968              == Info: Established connection to github.com (140.82.112.4 port 443) from 192.168.1.15 port 54742 
09:55:45.857730 http.c:968              == Info: using HTTP/1.x
09:55:45.857730 http.c:915              => Send header, 0000000200 bytes (0x000000c8)
09:55:45.857730 http.c:927              => Send header: GET /Clinikauto/site-v3.git/info/refs?service=git-receive-pack HTTP/1.1
09:55:45.857730 http.c:927              => Send header: Host: github.com
09:55:45.857730 http.c:927              => Send header: User-Agent: git/2.54.0.windows.1
09:55:45.857730 http.c:927              => Send header: Accept: */*
09:55:45.857730 http.c:927              => Send header: Accept-Encoding: deflate, gzip, br, zstd
09:55:45.857730 http.c:927              => Send header: Pragma: no-cache
09:55:45.857730 http.c:927              => Send header:
09:55:45.857730 http.c:968              == Info: Request completely sent off
09:55:45.970073 http.c:968              == Info: schannel: remote party requests renegotiation
09:55:45.970073 http.c:968              == Info: schannel: renegotiating SSL/TLS connection
09:55:45.970073 http.c:968              == Info: schannel: SSL/TLS connection renegotiated
09:55:45.970073 http.c:968              == Info: schannel: remote party requests renegotiation
09:55:45.970073 http.c:968              == Info: schannel: renegotiating SSL/TLS connection
09:55:45.973124 http.c:968              == Info: schannel: SSL/TLS connection renegotiated
09:55:45.978721 http.c:915              <= Recv header, 0000000027 bytes (0x0000001b)
09:55:45.978721 http.c:927              <= Recv header: HTTP/1.1 401 Unauthorized
09:55:45.978721 http.c:915              <= Recv header, 0000000026 bytes (0x0000001a)
09:55:45.978721 http.c:927              <= Recv header: Server: GitHub-Babel/3.0
09:55:45.978721 http.c:915              <= Recv header, 0000000054 bytes (0x00000036)
09:55:45.978721 http.c:927              <= Recv header: Content-Security-Policy: default-src 'none'; sandbox
09:55:45.978721 http.c:915              <= Recv header, 0000000041 bytes (0x00000029)
09:55:45.978721 http.c:927              <= Recv header: Content-Type: text/plain; charset=UTF-8
09:55:45.978721 http.c:915              <= Recv header, 0000000040 bytes (0x00000028)
09:55:45.978721 http.c:927              <= Recv header: www-authenticate: Basic realm="GitHub"
09:55:45.978721 http.c:915              <= Recv header, 0000000020 bytes (0x00000014)
09:55:45.978721 http.c:927              <= Recv header: Content-Length: 26
09:55:45.978721 http.c:915              <= Recv header, 0000000037 bytes (0x00000025)
09:55:45.978721 http.c:927              <= Recv header: Date: Fri, 22 May 2026 07:55:46 GMT
09:55:45.978721 http.c:915              <= Recv header, 0000000058 bytes (0x0000003a)
09:55:45.978721 http.c:927              <= Recv header: X-GitHub-Request-Id: D5D6:53826:2501455:2F968CB:6A100C01
09:55:45.978721 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
09:55:45.978721 http.c:927              <= Recv header: X-Frame-Options: DENY
09:55:45.978721 http.c:915              <= Recv header, 0000000073 bytes (0x00000049)
09:55:45.978721 http.c:927              <= Recv header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
09:55:45.978721 http.c:915              <= Recv header, 0000000002 bytes (0x00000002)
09:55:45.978721 http.c:927              <= Recv header:
09:55:45.978721 http.c:968              == Info: Connection #0 to host github.com:443 left intact
09:55:45.979731 run-command.c:673       trace: run_command: 'git credential-manager get'
09:55:45.979731 run-command.c:934       trace: start_command: 'C:/Program Files/Git/usr/bin/sh.exe' -c 'git credential-manager get' 'git credential-manager get'
09:55:46.495254 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
09:55:46.525344 git.c:810               trace: exec: git-credential-manager get
09:55:46.525344 run-command.c:673       trace: run_command: git-credential-manager get
09:55:46.525344 run-command.c:934       trace: start_command: git-credential-manager get
09:55:46.848251 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
09:55:46.885031 git.c:502               trace: built-in: git config --null --list
09:55:47.219887 http.c:968              == Info: Reusing existing https: connection with host github.com
09:55:47.219887 http.c:968              == Info: Server auth using Basic with user 'Clinikauto'
09:55:47.219887 http.c:915              => Send header, 0000000291 bytes (0x00000123)
09:55:47.219887 http.c:927              => Send header: GET /Clinikauto/site-v3.git/info/refs?service=git-receive-pack HTTP/1.1
09:55:47.219887 http.c:927              => Send header: Host: github.com
09:55:47.219887 http.c:927              => Send header: Authorization: Basic <redacted>
09:55:47.219887 http.c:927              => Send header: User-Agent: git/2.54.0.windows.1
09:55:47.219887 http.c:927              => Send header: Accept: */*
09:55:47.219887 http.c:927              => Send header: Accept-Encoding: deflate, gzip, br, zstd
09:55:47.219887 http.c:927              => Send header: Pragma: no-cache
09:55:47.219887 http.c:927              => Send header:
09:55:47.219887 http.c:968              == Info: Request completely sent off
09:55:47.455845 http.c:915              <= Recv header, 0000000017 bytes (0x00000011)
09:55:47.455845 http.c:927              <= Recv header: HTTP/1.1 200 OK
09:55:47.455845 http.c:915              <= Recv header, 0000000026 bytes (0x0000001a)
09:55:47.455845 http.c:927              <= Recv header: Server: GitHub-Babel/3.0
09:55:47.455845 http.c:915              <= Recv header, 0000000060 bytes (0x0000003c)
09:55:47.455845 http.c:927              <= Recv header: Content-Type: application/x-git-receive-pack-advertisement
09:55:47.455845 http.c:915              <= Recv header, 0000000054 bytes (0x00000036)
09:55:47.455845 http.c:927              <= Recv header: Content-Security-Policy: default-src 'none'; sandbox
09:55:47.455845 http.c:915              <= Recv header, 0000000040 bytes (0x00000028)
09:55:47.455845 http.c:927              <= Recv header: expires: Fri, 01 Jan 1980 00:00:00 GMT
09:55:47.455845 http.c:915              <= Recv header, 0000000018 bytes (0x00000012)
09:55:47.455845 http.c:927              <= Recv header: pragma: no-cache
09:55:47.455845 http.c:915              <= Recv header, 0000000053 bytes (0x00000035)
09:55:47.455845 http.c:927              <= Recv header: Cache-Control: no-cache, max-age=0, must-revalidate
09:55:47.455845 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
09:55:47.455845 http.c:927              <= Recv header: Vary: Accept-Encoding
09:55:47.455845 http.c:915              <= Recv header, 0000000028 bytes (0x0000001c)
09:55:47.455845 http.c:927              <= Recv header: Transfer-Encoding: chunked
09:55:47.455845 http.c:915              <= Recv header, 0000000037 bytes (0x00000025)
09:55:47.455845 http.c:927              <= Recv header: Date: Fri, 22 May 2026 07:55:47 GMT
09:55:47.455845 http.c:915              <= Recv header, 0000000058 bytes (0x0000003a)
09:55:47.455845 http.c:927              <= Recv header: X-GitHub-Request-Id: D5D6:53826:2501D5E:2F9753B:6A100C02
09:55:47.455845 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
09:55:47.455845 http.c:927              <= Recv header: X-Frame-Options: DENY
09:55:47.455845 http.c:915              <= Recv header, 0000000073 bytes (0x00000049)
09:55:47.455845 http.c:927              <= Recv header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
